Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"SCL","Supply Utilization Accounts (2010-)","792","Türkiye","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","445.08","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","792","Türkiye","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","231.44","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","795","Turkmenistan","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","0.62","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","795","Turkmenistan","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","0.23","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","795","Turkmenistan","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","0.39","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","795","Turkmenistan","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","0.2","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","800","Uganda","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","0","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","800","Uganda","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","0.55","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","800","Uganda","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","0","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","800","Uganda","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","804","Ukraine","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","1733.88","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","804","Ukraine","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","31.13","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","804","Ukraine","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","1702.75","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","804","Ukraine","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","885.43","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","784","United Arab Emirates","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","4012.07","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","784","United Arab Emirates","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","560.08","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","784","United Arab Emirates","5164","Tourist consumption","22290","Dairy products n.e.c.","2022","2022","t","1090.25","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","784","United Arab Emirates","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","2361.73","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","784","United Arab Emirates","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","1228.1","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","826","United Kingdom of Great Britain and Northern Ireland","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","11120.44","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","826","United Kingdom of Great Britain and Northern Ireland","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","115.1","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","826","United Kingdom of Great Britain and Northern Ireland","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","9.4","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","826","United Kingdom of Great Britain and Northern Ireland","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","10995.94","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","826","United Kingdom of Great Britain and Northern Ireland","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","5717.89","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","834","United Republic of Tanzania","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","5.9","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","834","United Republic of Tanzania","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","0.02","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","834","United Republic of Tanzania","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","5.87","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","834","United Republic of Tanzania","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","3.05","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","840","United States of America","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","33328.01","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","840","United States of America","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","48143.11","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","840","United States of America","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","0","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","840","United States of America","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","858","Uruguay","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","1864.18","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","858","Uruguay","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","0.15","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","858","Uruguay","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","1864.03","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","858","Uruguay","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","969.3","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","860","Uzbekistan","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","356.69","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","860","Uzbekistan","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","16.12","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","860","Uzbekistan","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","156.84","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","860","Uzbekistan","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","183.73","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","860","Uzbekistan","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","95.54","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","862","Venezuela (Bolivarian Republic of)","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","1293.67","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","862","Venezuela (Bolivarian Republic of)","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","30.87","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","862","Venezuela (Bolivarian Republic of)","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","1262.8","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","862","Venezuela (Bolivarian Republic of)","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","656.66","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","704","Viet Nam","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","1804.11","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","704","Viet Nam","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","31.39","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","704","Viet Nam","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","1772.72","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","704","Viet Nam","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","921.81","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","887","Yemen","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","770.39","X","Figure from international organizations","Estimated data using trading partners database"
"SCL","Supply Utilization Accounts (2010-)","887","Yemen","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","770.39","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","887","Yemen","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","0","I","Imputed value",""
"SCL","Supply Utilization Accounts (2010-)","887","Yemen","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","0","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","894","Zambia","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","363.14","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","894","Zambia","5910","Export quantity","22290","Dairy products n.e.c.","2022","2022","t","32.5","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","894","Zambia","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","232.23","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","894","Zambia","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","98.41","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","894","Zambia","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","51.18","X","Figure from international organizations","Unofficial figure"
"SCL","Supply Utilization Accounts (2010-)","716","Zimbabwe","5610","Import quantity","22290","Dairy products n.e.c.","2022","2022","t","13.96","A","Official figure",""
"SCL","Supply Utilization Accounts (2010-)","716","Zimbabwe","5520","Feed","22290","Dairy products n.e.c.","2022","2022","t","0.17","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","716","Zimbabwe","5141","Food supply quantity (tonnes)","22290","Dairy products n.e.c.","2022","2022","t","13.79","E","Estimated value",""
"SCL","Supply Utilization Accounts (2010-)","716","Zimbabwe","261","Calories/Year","22290","Dairy products n.e.c.","2022","2022","Kcal","7.17","X","Figure from international organizations","Unofficial figure"
